"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3710","should login successfully with valid credentials","webkit","2026-05-07","passed","2026-05-07","Authentication > Login","auth.spec.js","",""
"","256","should format card number with spaces","chromium","2026-05-07","passed","2026-05-07","Checkout","checkout.spec.js","",""
"","1656","color contrast - text should be readable","firefox","2026-05-07","passed","2026-05-07","Accessibility","accessibility.spec.js","",""
"","288","should display order summary","chromium","2026-05-07","passed","2026-05-07","Checkout","checkout.spec.js","",""
"","1979","should validate required fields","webkit","2026-05-07","passed","2026-05-07","Checkout","checkout.spec.js","",""
"","1047","should calculate correct totals","webkit","2026-05-07","passed","2026-05-07","Shopping Cart","cart.spec.js","",""
"","757","should have link to login page","firefox","2026-05-07","passed","2026-05-07","Authentication > Registration","auth.spec.js","",""
"","1225","should handle empty search gracefully","Mobile Chrome","2026-05-05","passed","2026-05-05","Edge Cases","edge-cases.spec.js","",""
"","379","color contrast - text should be readable","chromium","2026-05-07","passed","2026-05-07","Accessibility","accessibility.spec.js","",""
"","2017","should reject duplicate email registration","webkit","2026-05-07","passed","2026-05-07","Edge Cases","edge-cases.spec.js","",""
"","624","should display the logo in the navbar","firefox","2026-05-07","passed","2026-05-07","Homepage","homepage.spec.js","",""
"","2114","should handle add-to-cart failure","webkit","2026-05-07","passed","2026-05-07","Mocking API Responses","mocking.spec.js","",""
"","1117","should filter products by category","firefox","2026-05-07","passed","2026-05-07","Homepage","homepage.spec.js","",""
"","1004","should handle special characters in search","firefox","2026-05-07","passed","2026-05-07","Edge Cases","edge-cases.spec.js","",""
"","6824","all form inputs should have labels","webkit","2026-05-07","passed","2026-05-07","Accessibility","accessibility.spec.js","",""
"","1505","should handle direct URL access to cart page","Mobile Safari","2026-05-05","passed","2026-05-05","Edge Cases","edge-cases.spec.js","",""
"","1934","should reject duplicate email registration","Mobile Safari","2026-05-05","passed","2026-05-05","Edge Cases","edge-cases.spec.js","",""
"","3515","should remove item from cart","webkit","2026-05-07","passed","2026-05-07","Shopping Cart","cart.spec.js","",""
"","2659","interactive elements should be keyboard accessible","webkit","2026-05-07","passed","2026-05-07","Accessibility","accessibility.spec.js","",""
"","1461","should display error state when API fails","webkit","2026-05-07","passed","2026-05-07","Mocking API Responses","mocking.spec.js","",""
"","1537","should handle adding same product multiple times","Mobile Chrome","2026-05-05","passed","2026-05-05","Edge Cases","edge-cases.spec.js","",""
"","216","should handle network timeout","chromium","2026-05-07","passed","2026-05-07","Mocking API Responses","mocking.spec.js","",""
"","35","GET /api/products should return all products","chromium","2026-05-07","passed","2026-05-07","API Tests > Products API","api.spec.js","",""
"","1356","should format card number with spaces","webkit","2026-05-07","passed","2026-05-07","Checkout","checkout.spec.js","",""
"","3369","should show no results for nonsense search","webkit","2026-05-07","passed","2026-05-07","Edge Cases","edge-cases.spec.js","",""
"","280","should show error for invalid credentials","chromium","2026-05-07","passed","2026-05-07","Authentication > Login","auth.spec.js","",""
"","489","should display login form","firefox","2026-05-07","passed","2026-05-07","Authentication > Login","auth.spec.js","",""
"","859","homepage should have no critical accessibility violations","chromium","2026-05-07","passed","2026-05-07","","axe.spec.js","",""
"","189","should have login and signup buttons","chromium","2026-05-07","passed","2026-05-07","Homepage","homepage.spec.js","",""
"","17","DELETE /api/cart/:productId should remove item","chromium","2026-05-07","passed","2026-05-07","API Tests > Cart API","api.spec.js","",""
"","620","should display product information correctly","firefox","2026-05-07","passed","2026-05-07","Homepage","homepage.spec.js","",""
"","4434","should update item quantity","webkit","2026-05-07","passed","2026-05-07","Shopping Cart","cart.spec.js","",""
"","2590","should register new user successfully","firefox","2026-05-07","passed","2026-05-07","Authentication > Registration","auth.spec.js","",""
"","789","should format expiry date correctly","firefox","2026-05-07","passed","2026-05-07","Checkout","checkout.spec.js","",""
"","211","should display cart items correctly","chromium","2026-05-07","passed","2026-05-07","Shopping Cart","cart.spec.js","",""
"","1608","all form inputs should have labels","firefox","2026-05-07","passed","2026-05-07","Accessibility","accessibility.spec.js","",""
"","2926","should handle search with only whitespace","webkit","2026-05-07","passed","2026-05-07","Edge Cases","edge-cases.spec.js","",""
"","566","should redirect to cart if cart is empty","firefox","2026-05-07","passed","2026-05-07","Checkout","checkout.spec.js","",""
"","125","GET /api/products should return all products","webkit","2026-05-07","passed","2026-05-07","API Tests > Products API","api.spec.js","",""
"","1469","should handle direct URL access to cart page","webkit","2026-05-07","passed","2026-05-07","Edge Cases","edge-cases.spec.js","",""
"","3197","should handle empty search gracefully","webkit","2026-05-07","passed","2026-05-07","Edge Cases","edge-cases.spec.js","",""
"","1830","should require all fields for registration","webkit","2026-05-07","passed","2026-05-07","Edge Cases","edge-cases.spec.js","",""
"","36","GET /api/products should return all products","firefox","2026-05-07","passed","2026-05-07","API Tests > Products API","api.spec.js","",""
"","2204","should preserve cart across page navigation","Mobile Safari","2026-05-05","passed","2026-05-05","Edge Cases","edge-cases.spec.js","",""
"","1030","should complete checkout successfully","firefox","2026-05-07","passed","2026-05-07","Checkout","checkout.spec.js","",""
"","628","should show validation for empty fields","firefox","2026-05-07","passed","2026-05-07","Authentication > Login","auth.spec.js","",""
"","13","GET /api/cart should return empty cart initially","chromium","2026-05-07","passed","2026-05-07","API Tests > Cart API","api.spec.js","",""
"","41","POST /api/login should fail with invalid credentials","webkit","2026-05-07","passed","2026-05-07","API Tests > Auth API","api.spec.js","",""
"","1170","should display checkout form","webkit","2026-05-07","passed","2026-05-07","Checkout","checkout.spec.js","",""
"","88","GET /api/products/:id should return 404 for non-existent product","webkit","2026-05-07","passed","2026-05-07","API Tests > Products API","api.spec.js","",""
"","10","POST /api/register should create new user","chromium","2026-05-07","passed","2026-05-07","API Tests > Auth API","api.spec.js","",""
"","2522","should login successfully with valid credentials","firefox","2026-05-07","passed","2026-05-07","Authentication > Login","auth.spec.js","",""
"","8","POST /api/login should succeed with valid credentials","chromium","2026-05-07","passed","2026-05-07","API Tests > Auth API","api.spec.js","",""
"","705","should display checkout form","firefox","2026-05-07","passed","2026-05-07","Checkout","checkout.spec.js","",""
"","1323","should navigate to cart page","firefox","2026-05-07","passed","2026-05-07","Shopping Cart","cart.spec.js","",""
"","503","should add item to cart","firefox","2026-05-07","passed","2026-05-07","Shopping Cart","cart.spec.js","",""
"","3536","links should be distinguishable","webkit","2026-05-07","passed","2026-05-07","Accessibility","accessibility.spec.js","",""
"","524","should validate ZIP code format","chromium","2026-05-07","passed","2026-05-07","Checkout","checkout.spec.js","",""
"","2478","should logout successfully","chromium","2026-05-07","passed","2026-05-07","Authentication > Logout","auth.spec.js","",""
"","227","should calculate tax correctly","chromium","2026-05-07","passed","2026-05-07","Checkout","checkout.spec.js","",""
"","9","POST /api/login should require email and password","chromium","2026-05-07","passed","2026-05-07","API Tests > Auth API","api.spec.js","",""
"","1994","homepage should have no critical accessibility violations","webkit","2026-05-07","passed","2026-05-07","","axe.spec.js","",""
"","586","should display the page title","firefox","2026-05-07","passed","2026-05-07","Homepage","homepage.spec.js","",""
"","1256","should display cart items correctly","webkit","2026-05-07","passed","2026-05-07","Shopping Cart","cart.spec.js","",""
"","27","POST /api/login should require email and password","webkit","2026-05-07","passed","2026-05-07","API Tests > Auth API","api.spec.js","",""
"","1241","should clear entire cart","firefox","2026-05-07","passed","2026-05-07","Shopping Cart","cart.spec.js","",""
"","91","DELETE /api/cart should clear entire cart","webkit","2026-05-07","passed","2026-05-07","API Tests > Cart API","api.spec.js","",""
"","329","links should be distinguishable","chromium","2026-05-07","passed","2026-05-07","Accessibility","accessibility.spec.js","",""
"","1593","should show error for mismatched passwords","webkit","2026-05-07","passed","2026-05-07","Authentication > Registration","auth.spec.js","",""
"","921","should navigate to cart page","chromium","2026-05-07","passed","2026-05-07","Shopping Cart","cart.spec.js","",""
"","60","DELETE /api/cart should clear entire cart","chromium","2026-05-07","passed","2026-05-07","API Tests > Cart API","api.spec.js","",""
"","478","should calculate correct totals","firefox","2026-05-07","passed","2026-05-07","Shopping Cart","cart.spec.js","",""
"","246","should display error state when API fails","chromium","2026-05-07","passed","2026-05-07","Mocking API Responses","mocking.spec.js","",""
"","1148","should update item quantity","firefox","2026-05-07","passed","2026-05-07","Shopping Cart","cart.spec.js","",""
"","2984","should logout successfully","firefox","2026-05-07","passed","2026-05-07","Authentication > Logout","auth.spec.js","",""
"","1505","all images should have alt text","firefox","2026-05-07","passed","2026-05-07","Accessibility","accessibility.spec.js","",""
"","4333","page should have proper heading hierarchy","webkit","2026-05-07","passed","2026-05-07","Accessibility","accessibility.spec.js","",""
"","526","should have link to registration page","firefox","2026-05-07","passed","2026-05-07","Authentication > Login","auth.spec.js","",""
"","210","should display demo credentials","chromium","2026-05-07","passed","2026-05-07","Authentication > Login","auth.spec.js","",""
"","191","should display cart count in navbar","chromium","2026-05-07","passed","2026-05-07","Homepage","homepage.spec.js","",""
"","13","GET /api/health should return healthy status","chromium","2026-05-07","passed","2026-05-07","API Tests > Health API","api.spec.js","",""
"","631","should display order summary","firefox","2026-05-07","passed","2026-05-07","Checkout","checkout.spec.js","",""
"","10","POST /api/login should require email and password","firefox","2026-05-07","passed","2026-05-07","API Tests > Auth API","api.spec.js","",""
"","1461","should handle adding same product multiple times","chromium","2026-05-07","passed","2026-05-07","Edge Cases","edge-cases.spec.js","",""
"","369","should display cart count in navbar","firefox","2026-05-07","passed","2026-05-07","Homepage","homepage.spec.js","",""
"","10","GET /api/products/:id should return 404 for non-existent product","chromium","2026-05-07","passed","2026-05-07","API Tests > Products API","api.spec.js","",""
"","754","should validate required fields","firefox","2026-05-07","passed","2026-05-07","Checkout","checkout.spec.js","",""
"","4003","should navigate to cart page","webkit","2026-05-07","passed","2026-05-07","Shopping Cart","cart.spec.js","",""
"","321","should display checkout form","chromium","2026-05-07","passed","2026-05-07","Checkout","checkout.spec.js","",""
"","2971","buttons should have accessible names","webkit","2026-05-07","passed","2026-05-07","Accessibility","accessibility.spec.js","",""
"","36","GET /api/products should filter by search term","webkit","2026-05-07","passed","2026-05-07","API Tests > Products API","api.spec.js","",""
"","1441","should display the page title","webkit","2026-05-07","passed","2026-05-07","Homepage","homepage.spec.js","",""
"","1436","should handle search with only whitespace","firefox","2026-05-07","passed","2026-05-07","Edge Cases","edge-cases.spec.js","",""
"","3094","should register new user successfully","webkit","2026-05-07","passed","2026-05-07","Authentication > Registration","auth.spec.js","",""
"","2280","should display login form","webkit","2026-05-07","passed","2026-05-07","Authentication > Login","auth.spec.js","",""
"","606","should reject duplicate email registration","firefox","2026-05-07","passed","2026-05-07","Edge Cases","edge-cases.spec.js","",""
"","1416","should preserve cart across page navigation","firefox","2026-05-07","passed","2026-05-07","Edge Cases","edge-cases.spec.js","",""
"","268","should format expiry date correctly","chromium","2026-05-07","passed","2026-05-07","Checkout","checkout.spec.js","",""
"","398","buttons should have accessible names","chromium","2026-05-07","passed","2026-05-07","Accessibility","accessibility.spec.js","",""
"","59","DELETE /api/cart/:productId should remove item","firefox","2026-05-07","passed","2026-05-07","API Tests > Cart API","api.spec.js","",""
"","305","should display product cards","chromium","2026-05-07","passed","2026-05-07","Homepage","homepage.spec.js","",""
"","1111","should handle special characters in search","Mobile Chrome","2026-05-05","passed","2026-05-05","Edge Cases","edge-cases.spec.js","",""
"","137","POST /api/cart should add item to cart","webkit","2026-05-07","passed","2026-05-07","API Tests > Cart API","api.spec.js","",""
"","289","should have link to registration page","chromium","2026-05-07","passed","2026-05-07","Authentication > Login","auth.spec.js","",""
"","4203","should handle slow API responses gracefully","chromium","2026-05-07","passed","2026-05-07","Mocking API Responses","mocking.spec.js","",""
"","26","POST /api/login should fail with invalid credentials","firefox","2026-05-07","passed","2026-05-07","API Tests > Auth API","api.spec.js","",""
"","417","should display registration form","firefox","2026-05-07","passed","2026-05-07","Authentication > Registration","auth.spec.js","",""
"","353","should display product information correctly","chromium","2026-05-07","passed","2026-05-07","Homepage","homepage.spec.js","",""
"","47","GET /api/health should return healthy status","webkit","2026-05-07","passed","2026-05-07","API Tests > Health API","api.spec.js","",""
"","2723","should show error for invalid credentials","webkit","2026-05-07","passed","2026-05-07","Authentication > Login","auth.spec.js","",""
"","284","should redirect to cart if cart is empty","chromium","2026-05-07","passed","2026-05-07","Checkout","checkout.spec.js","",""
"","564","should handle direct URL access to cart page","firefox","2026-05-07","passed","2026-05-07","Edge Cases","edge-cases.spec.js","",""
"","74","DELETE /api/cart/:productId should remove item","webkit","2026-05-07","passed","2026-05-07","API Tests > Cart API","api.spec.js","",""
"","922","should preserve cart across page navigation","chromium","2026-05-07","passed","2026-05-07","Edge Cases","edge-cases.spec.js","",""
"","526","links should be distinguishable","firefox","2026-05-07","passed","2026-05-07","Accessibility","accessibility.spec.js","",""
"","1068","should preserve cart across page navigation","Mobile Chrome","2026-05-05","passed","2026-05-05","Edge Cases","edge-cases.spec.js","",""
"","2506","should complete checkout successfully","webkit","2026-05-07","passed","2026-05-07","Checkout","checkout.spec.js","",""
"","1889","should login successfully with valid credentials","chromium","2026-05-07","passed","2026-05-07","Authentication > Login","auth.spec.js","",""
"","325","should show validation for empty fields","chromium","2026-05-07","passed","2026-05-07","Authentication > Login","auth.spec.js","",""
"","3323","should handle adding same product multiple times","Mobile Safari","2026-05-05","passed","2026-05-05","Edge Cases","edge-cases.spec.js","",""
"","2315","should show no results for nonsense search","Mobile Safari","2026-05-05","passed","2026-05-05","Edge Cases","edge-cases.spec.js","",""
"","38","POST /api/cart should add item to cart","chromium","2026-05-07","passed","2026-05-07","API Tests > Cart API","api.spec.js","",""
"","614","should format card number with spaces","firefox","2026-05-07","passed","2026-05-07","Checkout","checkout.spec.js","",""
"","2775","color contrast - text should be readable","webkit","2026-05-07","passed","2026-05-07","Accessibility","accessibility.spec.js","",""
"","1169","should show no results for nonsense search","firefox","2026-05-07","passed","2026-05-07","Edge Cases","edge-cases.spec.js","",""
"","1251","should show no results for nonsense search","Mobile Chrome","2026-05-05","passed","2026-05-05","Edge Cases","edge-cases.spec.js","",""
"","1140","should remove item from cart","firefox","2026-05-07","passed","2026-05-07","Shopping Cart","cart.spec.js","",""
"","1092","should handle network timeout","webkit","2026-05-07","passed","2026-05-07","Mocking API Responses","mocking.spec.js","",""
"","19","DELETE /api/cart should clear entire cart","firefox","2026-05-07","passed","2026-05-07","API Tests > Cart API","api.spec.js","",""
"","180","should calculate correct totals","chromium","2026-05-07","passed","2026-05-07","Shopping Cart","cart.spec.js","",""
"","686","page should have proper heading hierarchy","firefox","2026-05-07","passed","2026-05-07","Accessibility","accessibility.spec.js","",""
"","2142","should display product cards","webkit","2026-05-07","passed","2026-05-07","Homepage","homepage.spec.js","",""
"","1223","should have link to registration page","webkit","2026-05-07","passed","2026-05-07","Authentication > Login","auth.spec.js","",""
"","2339","should handle empty search gracefully","Mobile Safari","2026-05-05","passed","2026-05-05","Edge Cases","edge-cases.spec.js","",""
"","6556","all images should have alt text","webkit","2026-05-07","passed","2026-05-07","Accessibility","accessibility.spec.js","",""
"","843","should clear entire cart","chromium","2026-05-07","passed","2026-05-07","Shopping Cart","cart.spec.js","",""
"","14","POST /api/login should succeed with valid credentials","firefox","2026-05-07","passed","2026-05-07","API Tests > Auth API","api.spec.js","",""
"","1279","should have a working search bar","firefox","2026-05-07","passed","2026-05-07","Homepage","homepage.spec.js","",""
"","10","POST /api/login should fail with invalid credentials","chromium","2026-05-07","passed","2026-05-07","API Tests > Auth API","api.spec.js","",""
"","62","POST /api/cart should return 404 for non-existent product","chromium","2026-05-07","passed","2026-05-07","API Tests > Cart API","api.spec.js","",""
"","425","all form inputs should have labels","chromium","2026-05-07","passed","2026-05-07","Accessibility","accessibility.spec.js","",""
"","548","should display cart items correctly","firefox","2026-05-07","passed","2026-05-07","Shopping Cart","cart.spec.js","",""
"","207","should display registration form","chromium","2026-05-07","passed","2026-05-07","Authentication > Registration","auth.spec.js","",""
"","209","should display the page title","chromium","2026-05-07","passed","2026-05-07","Homepage","homepage.spec.js","",""
"","391","should add item to cart","chromium","2026-05-07","passed","2026-05-07","Shopping Cart","cart.spec.js","",""
"","11","GET /api/products/:id should return single product","firefox","2026-05-07","passed","2026-05-07","API Tests > Products API","api.spec.js","",""
"","801","should handle special characters in search","chromium","2026-05-07","passed","2026-05-07","Edge Cases","edge-cases.spec.js","",""
"","1927","should register new user successfully","chromium","2026-05-07","passed","2026-05-07","Authentication > Registration","auth.spec.js","",""
"","4002","should handle slow API responses gracefully","webkit","2026-05-07","passed","2026-05-07","Mocking API Responses","mocking.spec.js","",""
"","33","POST /api/cart should return 404 for non-existent product","firefox","2026-05-07","passed","2026-05-07","API Tests > Cart API","api.spec.js","",""
"","580","should display the hero section","firefox","2026-05-07","passed","2026-05-07","Homepage","homepage.spec.js","",""
"","1276","should show validation for empty fields","webkit","2026-05-07","passed","2026-05-07","Authentication > Login","auth.spec.js","",""
"","9","POST /api/register should create new user","firefox","2026-05-07","passed","2026-05-07","API Tests > Auth API","api.spec.js","",""
"","18","POST /api/cart should add item to cart","firefox","2026-05-07","passed","2026-05-07","API Tests > Cart API","api.spec.js","",""
"","2694","should clear entire cart","webkit","2026-05-07","passed","2026-05-07","Shopping Cart","cart.spec.js","",""
"","28","GET /api/cart should return empty cart initially","firefox","2026-05-07","passed","2026-05-07","API Tests > Cart API","api.spec.js","",""
"","1375","should calculate tax correctly","webkit","2026-05-07","passed","2026-05-07","Checkout","checkout.spec.js","",""
"","2958","should handle special characters in search","webkit","2026-05-07","passed","2026-05-07","Edge Cases","edge-cases.spec.js","",""
"","361","should handle add-to-cart failure","chromium","2026-05-07","passed","2026-05-07","Mocking API Responses","mocking.spec.js","",""
"","26","GET /api/products should filter by category","chromium","2026-05-07","passed","2026-05-07","API Tests > Products API","api.spec.js","",""
"","64","GET /api/products/:id should return single product","webkit","2026-05-07","passed","2026-05-07","API Tests > Products API","api.spec.js","",""
"","2320","should handle search with only whitespace","Mobile Safari","2026-05-05","passed","2026-05-05","Edge Cases","edge-cases.spec.js","",""
"","481","all images should have alt text","chromium","2026-05-07","passed","2026-05-07","Accessibility","accessibility.spec.js","",""
"","1081","should validate ZIP code format","firefox","2026-05-07","passed","2026-05-07","Checkout","checkout.spec.js","",""
"","31","GET /api/products should filter by search term","chromium","2026-05-07","passed","2026-05-07","API Tests > Products API","api.spec.js","",""
"","36","PUT /api/cart/:productId should update quantity","chromium","2026-05-07","passed","2026-05-07","API Tests > Cart API","api.spec.js","",""
"","18","PUT /api/cart/:productId should update quantity","firefox","2026-05-07","passed","2026-05-07","API Tests > Cart API","api.spec.js","",""
"","2481","should validate ZIP code format","webkit","2026-05-07","passed","2026-05-07","Checkout","checkout.spec.js","",""
"","1184","should show empty cart message when cart is empty","webkit","2026-05-07","passed","2026-05-07","Shopping Cart","cart.spec.js","",""
"","427","should handle network timeout","firefox","2026-05-07","passed","2026-05-07","Mocking API Responses","mocking.spec.js","",""
"","1015","should redirect to cart if cart is empty","webkit","2026-05-07","passed","2026-05-07","Checkout","checkout.spec.js","",""
"","542","should display out-of-stock correctly","firefox","2026-05-07","passed","2026-05-07","Mocking API Responses","mocking.spec.js","",""
"","208","should have link to login page","chromium","2026-05-07","passed","2026-05-07","Authentication > Registration","auth.spec.js","",""
"","1565","should display the logo in the navbar","webkit","2026-05-07","passed","2026-05-07","Homepage","homepage.spec.js","",""
"","551","page should have proper heading hierarchy","chromium","2026-05-07","passed","2026-05-07","Accessibility","accessibility.spec.js","",""
"","1221","should display out-of-stock correctly","webkit","2026-05-07","passed","2026-05-07","Mocking API Responses","mocking.spec.js","",""
"","199","should display the logo in the navbar","chromium","2026-05-07","passed","2026-05-07","Homepage","homepage.spec.js","",""
"","12","GET /api/products/:id should return 404 for non-existent product","firefox","2026-05-07","passed","2026-05-07","API Tests > Products API","api.spec.js","",""
"","9","GET /api/products/:id should return single product","chromium","2026-05-07","passed","2026-05-07","API Tests > Products API","api.spec.js","",""
"","429","should complete checkout successfully","chromium","2026-05-07","passed","2026-05-07","Checkout","checkout.spec.js","",""
"","863","should have a working search bar","chromium","2026-05-07","passed","2026-05-07","Homepage","homepage.spec.js","",""
"","2425","should add item to cart","webkit","2026-05-07","passed","2026-05-07","Shopping Cart","cart.spec.js","",""
"","1521","should display cart count in navbar","webkit","2026-05-07","passed","2026-05-07","Homepage","homepage.spec.js","",""
"","2053","should handle adding same product multiple times","firefox","2026-05-07","passed","2026-05-07","Edge Cases","edge-cases.spec.js","",""
"","1618","should require all fields for registration","Mobile Safari","2026-05-05","passed","2026-05-05","Edge Cases","edge-cases.spec.js","",""
"","332","should reject duplicate email registration","chromium","2026-05-07","passed","2026-05-07","Edge Cases","edge-cases.spec.js","",""
"","237","should display login form","chromium","2026-05-07","passed","2026-05-07","Authentication > Login","auth.spec.js","",""
"","693","interactive elements should be keyboard accessible","firefox","2026-05-07","passed","2026-05-07","Accessibility","accessibility.spec.js","",""
"","255","should handle direct URL access to cart page","Mobile Chrome","2026-05-05","passed","2026-05-05","Edge Cases","edge-cases.spec.js","",""
"","888","should show error for mismatched passwords","firefox","2026-05-07","passed","2026-05-07","Authentication > Registration","auth.spec.js","",""
"","1014","homepage should have no critical accessibility violations","firefox","2026-05-07","passed","2026-05-07","","axe.spec.js","",""
"","807","should remove item from cart","chromium","2026-05-07","passed","2026-05-07","Shopping Cart","cart.spec.js","",""
"","11","GET /api/products should filter by search term","firefox","2026-05-07","passed","2026-05-07","API Tests > Products API","api.spec.js","",""
"","375","interactive elements should be keyboard accessible","chromium","2026-05-07","passed","2026-05-07","Accessibility","accessibility.spec.js","",""
"","275","should show empty cart message when cart is empty","chromium","2026-05-07","passed","2026-05-07","Shopping Cart","cart.spec.js","",""
"","646","should handle add-to-cart failure","firefox","2026-05-07","passed","2026-05-07","Mocking API Responses","mocking.spec.js","",""
"","3236","should have a working search bar","webkit","2026-05-07","passed","2026-05-07","Homepage","homepage.spec.js","",""
"","1076","should handle search with only whitespace","Mobile Chrome","2026-05-05","passed","2026-05-05","Edge Cases","edge-cases.spec.js","",""
"","278","should display the hero section","chromium","2026-05-07","passed","2026-05-07","Homepage","homepage.spec.js","",""
"","432","should display demo credentials","firefox","2026-05-07","passed","2026-05-07","Authentication > Login","auth.spec.js","",""
"","1511","should have link to login page","webkit","2026-05-07","passed","2026-05-07","Authentication > Registration","auth.spec.js","",""
